Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Logistic Regression,0.872093023255814,0.8765288544358311,0.872093023255814,0.8696991445472119,0.9549999999999998,0.02449489742783178
Naive Bayes,0.8837209302325582,0.8898363479758827,0.8837209302325582,0.8831819795416749,0.9549999999999998,0.02449489742783178
Linear SVM,0.8604651162790697,0.8675581395348837,0.8604651162790697,0.8569476635676275,0.96,0.025495097567963917
Random Forest,0.9302325581395349,0.9451827242524916,0.9302325581395349,0.9317352415026834,0.9450000000000001,0.033166247903553984
Decision Tree,0.872093023255814,0.8801820020222447,0.872093023255814,0.8742866952169278,0.9550000000000001,0.0678232998312527
